cluster_id,label,max_channel_name,max_channel_index,n_spikes,mean_rate_hz,peak_to_peak_uv,polarity,spike_width_ms,half_width_ms,n_channels_extent,n_waveforms,trace_start_s
9,good,13,0,10973,1.0133650534028822,6.458399772644043,negative,0.26666666666666666,0.13187777593885422,1,25,10766.75
20,good,09,62,13673,1.262712145737502,50.7995719909668,positive,0.4333333333333333,0.12892904607693342,7,47,5676.75
21,good,09,62,133264,12.307033671437319,61.072723388671875,positive,0.26666666666666666,0.12382014585760856,7,300,9215.25
26,good,11,35,2050,0.18931908862443347,40.41374969482422,positive,0.13333333333333333,0.11154615214214221,13,20,2433.25
55,good,61,19,1193,0.11017447450192641,15.375747680664062,positive,nan,0.08157894982793223,12,20,137.75
122,good,49,46,38049,3.513854635644424,29.06020736694336,positive,0.26666666666666666,0.1271239795312687,2,150,5184.25
152,good,63,1,2591,0.23928085786629616,26.724746704101562,positive,0.5666666666666667,0.12417276931717182,6,20,436.5
166,good,11,35,9617,0.8881374025859399,56.684059143066406,positive,0.4333333333333333,0.11962181625501239,8,48,6419.75
168,good,09,62,8409,0.7765776664599323,44.570213317871094,positive,0.6666666666666666,0.11946658354613776,10,23,3671.5
170,good,13,0,3010,0.2779758325656316,16.526248931884766,positive,0.2,0.12764111737729766,9,20,4923.75
