cluster_id,label,max_channel_name,max_channel_index,n_spikes,mean_rate_hz,peak_to_peak_uv,polarity,spike_width_ms,half_width_ms,n_channels_extent,n_waveforms,trace_start_s
2,good,2,78,39439,4.7465005946274035,102.144287109375,negative,0.26666666666666666,0.1340829718608889,5,202,1688.0
8,good,3,77,43366,5.219116731829204,59.86732482910156,negative,0.3,0.14604140024008197,5,251,5196.5
13,good,10,70,663859,79.89571587131401,101.25437927246094,negative,0.16666666666666666,0.11615212387822306,7,300,5990.75
14,good,11,69,126694,15.247677332988266,57.38396453857422,negative,0.16666666666666666,0.11036487106098451,6,300,285.25
20,good,17,95,375760,45.222877442054646,71.00599670410156,negative,0.26666666666666666,0.1420935519861815,9,300,1699.0
34,good,27,85,159315,19.173628698320563,96.6998291015625,negative,0.3,0.15083742787699658,5,300,6436.5
51,good,39,124,10918,1.3139859908248686,62.68654251098633,negative,0.16666666666666666,0.11459441638755413,12,49,1633.25
57,good,40,109,142381,17.135614522773,77.82189178466797,negative,0.4666666666666667,0.14133113771668207,5,300,6023.75
59,good,42,108,84989,10.228462664793437,64.36494445800781,negative,0.4333333333333333,0.19772912292053083,9,300,7851.75
61,good,42,108,1531,0.18425650778099228,156.62399291992188,negative,0.13333333333333333,0.09483975709385213,44,20,4436.5
62,good,42,108,89919,10.821790282925567,83.97411346435547,negative,0.3,0.14373922852879975,6,300,7319.5
64,good,42,108,77845,9.368679195435234,76.511474609375,positive,0.13333333333333333,0.11149834270295665,1,300,7807.0
66,good,80,0,350,0.04212265037449203,18.156665802001953,positive,0.8,0.13566409989456799,128,9,2686.0
68,good,43,122,639,0.0769039245408583,196.8633270263672,negative,0.23333333333333334,0.10424156235553189,103,18,7476.25
69,good,44,107,7642,0.9197179833196231,78.99937438964844,negative,0.3333333333333333,0.12416933647829513,5,40,41.75
71,good,46,106,5709,0.6870806028227857,57.400917053222656,positive,0.2,0.12734417720365004,3,33,5833.0
72,good,46,106,8485,1.021173395507328,59.89175796508789,negative,0.26666666666666666,0.1223979936128984,1,51,0.5
74,good,43,122,814,0.09796524972810432,182.6296844482422,negative,0.23333333333333334,0.11163886695597978,99,16,7777.0
75,good,45,121,7403,0.8909542306353271,67.02090454101562,negative,0.4,0.18391056437400444,5,33,1295.25
79,good,46,106,148782,17.90597762290764,73.68009948730469,negative,0.4666666666666667,0.20810220455688355,10,300,6215.0
80,good,42,108,170463,20.515295287962957,152.55503845214844,negative,0.13333333333333333,0.09932432508797304,17,300,6410.25
81,good,66,14,5889,0.7087436801582387,20.323333740234375,negative,0.7666666666666667,0.26332359971736635,6,27,7951.25
83,good,80,0,909,0.10939854054403787,12.128999710083008,negative,0.7,0.21629783952272597,81,15,7814.25
86,good,102,46,2610,0.31411462136406915,7.478249549865723,positive,0.6,0.260523214680179,7,20,15.5
87,good,80,0,2963,0.3565983230274854,11.45857048034668,negative,0.1,0.12044960698789614,5,21,6313.5
90,good,50,104,33856,4.0745841459394345,91.3536605834961,negative,0.4333333333333333,0.1376655094415856,6,152,5452.25
