cluster_id,label,max_channel_name,max_channel_index,n_spikes,mean_rate_hz,peak_to_peak_uv,polarity,spike_width_ms,half_width_ms,n_channels_extent,n_waveforms,trace_start_s
2,good,1,79,95053,18.940599584596573,232.1591796875,negative,0.16666666666666666,0.1270276366289635,8,300,3349.75
5,good,5,75,81868,16.31330948830392,46.08628845214844,negative,0.13333333333333333,0.09960106344559344,2,300,1199.75
6,good,3,77,22468,4.477053764391611,84.84689331054688,positive,0.16666666666666666,0.11568025979499245,5,169,3889.0
7,good,4,76,38328,7.637373895389072,80.68123626708984,negative,0.3,0.1499738077475448,8,300,121.5
12,good,5,75,24311,4.844296513535894,68.32032775878906,negative,0.13333333333333333,0.1105221860992677,2,233,2624.5
14,good,8,72,150856,30.06010426744975,83.03814697265625,negative,0.4666666666666667,0.23658383418777434,8,300,179.5
16,good,8,72,44126,8.792704041638963,74.68500518798828,negative,0.2,0.1362729627715473,6,300,2.25
17,good,10,70,13858,2.7613944751174535,72.7113037109375,negative,0.2,0.14942970589987095,8,107,3858.25
25,good,14,66,22560,4.495386012314169,88.75692749023438,negative,0.26666666666666666,0.15376993011712745,9,177,304.0
26,good,13,67,7532,1.5008531668772305,81.62010955810547,negative,0.16666666666666666,0.12279396929981945,2,85,358.25
34,good,18,94,7125,1.41975289617635,81.615234375,negative,0.3,0.16347047527131006,7,63,3924.25
38,good,20,92,9789,1.950591031673023,89.96240234375,negative,0.16666666666666666,0.11574928369425308,3,81,1633.25
43,good,23,89,4790,0.9544724733592584,67.73999786376953,negative,0.5666666666666667,0.16357288477106724,3,39,202.0
46,good,26,86,5123,1.0208272402963425,76.8974838256836,negative,0.2,0.1418073740349053,6,52,429.75
53,good,30,82,5224,1.040952860298281,85.42218017578125,negative,0.13333333333333333,0.10001561132499823,8,32,1198.0
62,good,62,98,5259,1.047927085051428,12.58758544921875,negative,1.2333333333333332,0.11479634394921755,3,29,4518.75
63,good,31,96,29292,5.836828327690897,75.91668701171875,positive,0.13333333333333333,0.11680127552237428,5,275,1824.25
65,good,33,127,20507,4.086297914651005,76.94844055175781,positive,0.4666666666666667,0.12021384987812926,6,135,2373.0
69,good,35,126,5359,1.0678534414889909,76.3679428100586,positive,0.16666666666666666,0.12274922988713001,4,46,3468.5
76,good,41,123,13113,2.612943119657611,81.37593841552734,positive,0.13333333333333333,0.11055553475834874,7,112,4712.75
78,good,42,108,39512,7.873301955609816,103.70297241210938,negative,0.16666666666666666,0.11400212706188462,10,300,1898.75
79,good,42,108,19400,3.8657131488871843,68.66293334960938,negative,0.4,0.2580631109205527,7,153,3342.5
80,good,41,123,6467,1.2886374708171866,82.0897216796875,positive,0.13333333333333333,0.10283017449527143,2,37,972.5
83,good,43,122,48939,9.751759576978861,122.7596435546875,negative,0.16666666666666666,0.11025161870133478,11,300,511.5
84,good,43,122,27831,5.545704260138105,43.22825622558594,negative,0.5333333333333333,0.18717068192788003,3,240,17.25
86,good,43,122,10105,2.0135583180157215,80.57260131835938,positive,0.23333333333333334,0.14541340872763037,5,83,4908.5
87,good,44,107,6117,1.2188952232857169,90.43666076660156,positive,0.8333333333333334,0.11316470684358157,4,45,4388.75
88,good,43,122,8396,1.6730168864977732,92.76365661621094,positive,0.13333333333333333,0.10239859508320061,6,90,2621.25
89,good,44,107,25956,5.172085076933802,89.86692810058594,negative,0.4333333333333333,0.15507240805146313,4,229,180.75
90,good,44,107,31538,6.284374293278558,100.29823303222656,positive,0.7,0.11925450903568706,3,260,2588.0
91,good,44,107,42165,8.401948191898358,195.5570068359375,positive,0.13333333333333333,0.09472834964005501,5,300,4062.25
92,good,44,107,155890,31.06319705051666,123.90821838378906,positive,0.13333333333333333,0.09943671297501021,3,300,3938.75
93,good,46,106,61040,12.163047969488337,86.9758529663086,positive,0.3,0.11084259275507856,2,300,2940.5
98,good,47,120,6784,1.3518040207242608,80.62641143798828,negative,0.26666666666666666,0.11343493691701761,6,64,1062.25
99,good,47,120,19957,3.9767029542444092,74.34373474121094,positive,0.16666666666666666,0.12200544694934366,2,204,554.25
100,good,49,119,8953,1.784006691854998,106.51467895507812,positive,0.13333333333333333,0.10323508280039136,7,48,4405.75
104,good,50,104,18980,3.7820224518494205,79.26699829101562,positive,0.26666666666666666,0.11367464318828932,4,203,4344.75
105,good,49,119,47498,9.464620780713581,78.46736145019531,positive,0.13333333333333333,0.10850831146354889,3,300,824.25
107,good,50,104,68722,13.693790671021912,86.48966979980469,positive,0.13333333333333333,0.10574893141742982,4,300,4399.25
109,good,44,107,3206,0.6388389873882636,56.79983901977539,negative,0.23333333333333334,0.14935290136297075,20,32,2257.0
110,good,51,118,9265,1.846176923940194,54.65791320800781,negative,1.3333333333333333,0.10903228711259712,5,101,2.0
112,good,53,117,35207,7.015472310972737,155.995849609375,negative,0.16666666666666666,0.11674157336903122,10,238,12.5
118,good,64,97,1821,0.3628589507280187,26.753999710083008,negative,1.2333333333333332,0.1030052925209828,14,20,15.25
119,good,57,115,7992,1.5925144064900194,58.81858825683594,positive,0.9333333333333333,0.11546311841980407,1,71,532.5
120,good,58,100,28854,5.749550886494372,76.35265350341797,negative,0.26666666666666666,0.13153195179905514,7,221,4866.5
121,good,58,100,6111,1.217699641899463,81.53854370117188,positive,0.16666666666666666,0.13568300383444373,11,41,841.75
125,good,57,115,2011,0.400719027959388,59.05575180053711,negative,0.26666666666666666,0.08337811544745584,30,20,300.5
126,good,60,99,12602,2.5111194382616646,96.64161682128906,positive,0.13333333333333333,0.10635590904467283,2,102,817.0
128,good,61,113,10546,2.1014335499053733,63.88996124267578,negative,0.13333333333333333,0.08492203029934202,6,142,608.75
130,good,62,98,23667,4.715970778077989,84.43500518798828,negative,0.26666666666666666,0.13626690267569314,5,166,1402.75
132,good,62,98,1949,0.3883646869680991,163.36123657226562,positive,0.13333333333333333,0.1081450723847059,15,20,3153.25
134,good,64,97,4516,0.8998742567203363,127.76399230957031,positive,0.13333333333333333,0.10245620632447375,4,40,743.5
139,good,63,112,12598,2.510322384004162,113.36766052246094,positive,0.16666666666666666,0.12513549323130432,4,102,3309.25
140,good,64,97,28881,5.754931002732514,142.6522674560547,positive,0.1,0.09994370982603264,3,260,1902.5
152,good,72,8,2223,0.4429629036070212,65.60740661621094,positive,0.7333333333333334,0.15723471204106876,5,29,128.75
167,good,82,30,15204,3.029603232767049,71.20602416992188,positive,0.7,0.13792061380359624,4,88,4927.0
171,good,84,28,20004,3.9860683417700637,74.56501007080078,positive,0.16666666666666666,0.12304571311902882,5,91,4817.0
177,good,89,23,35857,7.144993627816896,67.66824340820312,positive,0.3,0.11402651655851888,2,300,3360.5
178,good,88,24,52348,10.431049067935378,70.41775512695312,positive,0.6,0.11680557413603458,1,300,75.75
180,good,90,22,65011,12.954323583623957,65.50764465332031,positive,0.13333333333333333,0.10187956263239689,3,300,4141.5
182,good,91,21,33600,6.695255763021103,86.18927001953125,positive,0.16666666666666666,0.12085161361571413,5,261,320.5
185,good,91,21,94997,18.929440824991538,119.52722930908203,positive,0.13333333333333333,0.09988071112846507,5,300,1870.5
187,good,44,107,2560,0.5101147248016078,14.370000839233398,positive,0.8333333333333334,0.12897214263152368,8,26,208.25
194,good,97,63,13378,2.665747964217152,82.0820083618164,negative,0.3,0.1079660920857582,7,105,2870.25
195,good,97,63,10106,2.013757581580097,103.55450439453125,positive,0.13333333333333333,0.1115414147493396,4,82,275.75
197,good,99,62,1649,0.32858561765541067,59.94300079345703,negative,0.5,0.16165720899887928,19,20,4698.0
200,good,99,62,32718,6.519505299241799,58.90296936035156,negative,0.4333333333333333,0.20064426720331194,8,286,568.25
201,good,97,63,15015,2.9919424191000554,60.02129364013672,positive,0.13333333333333333,0.0988826939744003,5,126,2869.25
202,good,101,61,6062,1.2079357272450573,68.31881713867188,negative,0.4666666666666667,0.14500825942195503,6,51,2998.75
206,good,101,61,114934,22.902158507948435,142.83169555664062,negative,0.26666666666666666,0.15688706831539967,7,300,2186.5
209,good,104,45,26652,5.310772517739239,60.373313903808594,negative,0.3666666666666667,0.21878330333764395,6,206,4399.25
210,good,103,60,32300,6.436213129332787,60.9621696472168,negative,0.3333333333333333,0.13662191628406792,5,249,3747.0
